id,title,subTitle,url,modelNumber,colourVariations,image,priceData,ratingCount,rating,isPrimeAvailable,wishlistEligible
KK3684,BURNDEN II SPZL Sneakers,Men Originals,https://www.adidas.com/us/burnden-ii-spzl-sneakers/KK3684.html,OPB81,[],"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0a46e77d7e31412ea872457d08f602fb_9366/BURNDEN_II_SPZL_Sneakers_White_KK3684_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 130, 'valueNoVat': 130}], 'isSoldOut': False}",25,4.6,,True
JQ6976,Runfalcon 5 Running Shoes,Men Performance,https://www.adidas.com/us/runfalcon-5-running-shoes/JQ6976.html,NKE45,"['JQ6976', 'IE0525', 'IE8812', 'IE8819', 'IH7757', 'IH7758', 'JI0872', 'JQ6974', 'JQ6978', 'JQ6979', 'JQ6980', 'JR5089', 'JR5518', 'JR5520', 'JR5521']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/58f0afaff4424ebc9551e3dd5a836e07_9366/Runfalcon_5_Running_Shoes_Brown_JQ6976_HM1.jpg","{'prices': [{'type': 'sale', 'value': 56, 'valueNoVat': 56}, {'type': 'original', 'value': 65, 'valueNoVat': 65, 'discountPercentage': -10}], 'isSoldOut': False}",5302,4.6415,,True
KI8523,JABBAR LO Trainers,Originals,https://www.adidas.com/us/jabbar-lo-trainers/KI8523.html,NLL54,"['KI8523', 'JP6499', 'JP6501', 'JQ4427', 'JQ9595', 'JR4354', 'JS2160', 'JS5021', 'JS5023']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ed16d62de65743669d65cbb8ef6bd91c_9366/JABBAR_LO_Trainers_Black_KI8523_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 55, 'valueNoVat': 55}, {'type': 'original', 'value': 110, 'valueNoVat': 110, 'discountPercentage': -50}], 'isSoldOut': False}",428,4.8085,True,True
KI7785,Y-3 PRO MODEL 3G Shoes,Y-3,https://www.adidas.com/us/y-3-pro-model-3g-shoes/KI7785.html,OPW11,[],"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8c7c69d919304abeb3c16c6583eb59a8_9366/Y-3_PRO_MODEL_3G_Shoes_White_KI7785_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 400, 'valueNoVat': 400}], 'isSoldOut': False}",-99,,,True
KI6875,Y-3 ADIOS PRO 4 Shoes,Men Y-3,https://www.adidas.com/us/y-3-adios-pro-4-shoes/KI6875.html,OTJ38,"['KI6875', 'KI6876']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c0545e222b9444688e18805f7a1a0a1f_9366/Y-3_ADIOS_PRO_4_Shoes_White_KI6875_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 330, 'valueNoVat': 330}], 'isSoldOut': False}",28,4.8572,,True
KH6855,Y-3 F50 AOP Shoes,Y-3,https://www.adidas.com/us/y-3-f50-aop-shoes/KH6855.html,OQZ34,"['KH6855', 'KH6667']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3ec50e9cef2946e29e31c9f60563505f_9366/Y-3_F50_AOP_Shoes_Silver_KH6855_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 330, 'valueNoVat': 330}], 'isSoldOut': False}",-99,,,True
KI0867,Y-3 ADIOS PRO 3.0 LX Shoes,Y-3,https://www.adidas.com/us/y-3-adios-pro-3.0-lx-shoes/KI0867.html,OPC03,"['KI0867', 'KI0866']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c778a5263c3c4520845c66dd74568013_9366/Y-3_ADIOS_PRO_3.0_LX_Shoes_Black_KI0867_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 380, 'valueNoVat': 380}], 'isSoldOut': False}",5,5.0,,True
KI6877,Y-3 ADIOS 9 Shoes,Men Y-3,https://www.adidas.com/us/y-3-adios-9-shoes/KI6877.html,OSL56,"['KI6877', 'KI6878', 'KI7789', 'KI9544', 'KZ9050']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3b944c684f324f45a59dbb511e8163c2_9366/Y-3_ADIOS_9_Shoes_Silver_KI6877_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 280, 'valueNoVat': 280}], 'isSoldOut': False}",23,4.4348,,True
KI0866,Y-3 ADIOS PRO 3.0 LX Shoes,Y-3,https://www.adidas.com/us/y-3-adios-pro-3.0-lx-shoes/KI0866.html,OPC03,"['KI0866', 'KI0867']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/abdf94c297724e3db0be0dbab01e7484_9366/Y-3_ADIOS_PRO_3.0_LX_Shoes_White_KI0866_00_plp_standard.jpg","{'prices': [{'type': 'original', 'value': 380, 'valueNoVat': 380}], 'isSoldOut': False}",5,5.0,,True
KI6150,ADISTAR CONTROL 5 SHOES,Originals,https://www.adidas.com/us/adistar-control-5-shoes/KI6150.html,ONN89,"['KI6150', 'KH6895', 'KI6120', 'KI6121', 'KI6151', 'KI6152', 'KI6154', 'KI6680', 'KI8590', 'KI8592', 'KI8601', 'KI9356', 'KJ3630', 'KJ3631', 'KJ5955', 'KJ7727', 'KJ8805', 'LA3965']","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7f9b5c8bf75549989ff46b1c08c12195_9366/ADISTAR_CONTROL_5_SHOES_Black_KI6150_00_plp_standard.jpg","{'prices': [{'type': 'sale', 'value': 84, 'valueNoVat': 84}, {'type': 'original', 'value': 120, 'valueNoVat': 120, 'discountPercentage': -30}], 'isSoldOut': False}",664,4.8449,,True
